experiment_id,experiment_title,epoch,epoch_amount,train_avg_loss,train_acc,test_avg_loss,test_acc,timestamp
1,wip_cifar_resnet_sgd,56,100,0.0031410680294036864,0.9999800000000001,1.5287156183242798,0.7165,2019-12-02 11:53:18.874611

1,wip_cifar_resnet_sgd,57,100,0.0028639848616719248,1.0,1.557259167098999,0.7122,2019-12-02 11:53:34.918613

1,wip_cifar_resnet_sgd,58,100,0.00286405121833086,1.0,1.5578682888031006,0.7126,2019-12-02 11:53:50.851611

1,wip_cifar_resnet_sgd,59,100,0.002775146931409836,0.99994,1.6857452610015868,0.7024,2019-12-02 11:54:06.747612

1,wip_cifar_resnet_sgd,60,100,0.0030488545614480974,0.9999600000000001,1.7025256666183473,0.7003,2019-12-02 11:54:22.703668

1,wip_cifar_resnet_sgd,61,100,0.0028334368893504144,0.9999600000000001,1.5938981132507324,0.7151000000000001,2019-12-02 11:54:38.635647

1,wip_cifar_resnet_sgd,62,100,0.0021930618768930435,1.0,1.5856959926605225,0.7156,2019-12-02 11:54:54.571647

1,wip_cifar_resnet_sgd,63,100,0.002197611828148365,1.0,1.6562544317245484,0.7072,2019-12-02 11:55:10.512644

1,wip_cifar_resnet_sgd,64,100,0.0023821822167932986,0.9999800000000001,1.5784342235565185,0.7166,2019-12-02 11:55:26.363610

1,wip_cifar_resnet_sgd,65,100,0.0019396603010594846,1.0,1.6004123081207275,0.7136,2019-12-02 11:55:42.418460

1,wip_cifar_resnet_sgd,66,100,0.001843473625034094,1.0,1.6042846870422363,0.7163,2019-12-02 11:55:58.441775

1,wip_cifar_resnet_sgd,67,100,0.0018109197427332402,1.0,1.609826367378235,0.7148,2019-12-02 11:56:14.320854

1,wip_cifar_resnet_sgd,68,100,0.0017324156573414802,1.0,1.6050030475616455,0.7163,2019-12-02 11:56:30.248857

1,wip_cifar_resnet_sgd,69,100,0.0017130682063102721,0.9999800000000001,1.8551760032653808,0.6839000000000001,2019-12-02 11:56:46.147891

1,wip_cifar_resnet_sgd,70,100,0.0027251875305175782,0.9998800000000001,1.6206578708648682,0.7141000000000001,2019-12-02 11:57:01.966882

1,wip_cifar_resnet_sgd,71,100,0.0017912052237987518,0.9999800000000001,1.7244265644073486,0.7027,2019-12-02 11:57:17.810416

1,wip_cifar_resnet_sgd,72,100,0.0018893767642974854,1.0,1.6378344898223878,0.7108,2019-12-02 11:57:33.712281

1,wip_cifar_resnet_sgd,73,100,0.0015122595500946046,1.0,1.9598204330444335,0.6971,2019-12-02 11:57:49.729106

1,wip_cifar_resnet_sgd,74,100,0.0015718260005116462,1.0,1.7507054107666016,0.7056,2019-12-02 11:58:05.535191

1,wip_cifar_resnet_sgd,75,100,0.0015373848725110293,1.0,1.6421322551727295,0.7115,2019-12-02 11:58:21.277755

1,wip_cifar_resnet_sgd,76,100,0.0012686095717549324,1.0,1.6833978504180909,0.7121000000000001,2019-12-02 11:58:37.023784

1,wip_cifar_resnet_sgd,77,100,0.0014434578031301498,1.0,1.8335579082489013,0.7032,2019-12-02 11:58:52.509119

1,wip_cifar_resnet_sgd,78,100,0.0013765015031397343,1.0,1.6594312225341796,0.7157,2019-12-02 11:59:07.990036

1,wip_cifar_resnet_sgd,79,100,0.0013511994445323944,0.9999800000000001,1.9300708518981933,0.6806,2019-12-02 11:59:23.422471

1,wip_cifar_resnet_sgd,80,100,0.0022995401203632355,0.9998600000000001,3.1083666526794436,0.5825,2019-12-02 11:59:38.857879

1,wip_cifar_resnet_sgd,81,100,0.18634385607242585,0.95196,3.97398067779541,0.5038,2019-12-02 11:59:54.314857

1,wip_cifar_resnet_sgd,82,100,0.2539510582828522,0.9118600000000001,5.092715710449219,0.42160000000000003,2019-12-02 12:00:09.748825

1,wip_cifar_resnet_sgd,83,100,0.1301001123714447,0.9533400000000001,2.1267502904891966,0.6233000000000001,2019-12-02 12:00:25.193294

1,wip_cifar_resnet_sgd,84,100,0.05164291570663452,0.9836800000000001,1.750970418739319,0.6789000000000001,2019-12-02 12:00:40.667244

1,wip_cifar_resnet_sgd,85,100,0.03016804486989975,0.9922000000000001,2.5073414585113527,0.627,2019-12-02 12:00:56.180105

